,age,job,marital,education,balance,housing,loan,day,month,duration,campaign,pdays,previous,poutcome,subscription,month_num
0,95,retired,married,secondary,0,0,0,1,oct,215,1,2613,0,2,0,10
1,95,retired,divorced,primary,2282,0,0,21,apr,207,17,2613,0,2,1,4
2,94,retired,divorced,secondary,1234,0,0,3,mar,212,1,2613,0,2,0,3
3,93,retired,married,unknown,775,0,0,4,aug,476,2,13,9,1,1,8
4,93,retired,married,unknown,775,0,0,22,jul,860,2,177,7,1,1,7
5,92,retired,married,unknown,775,0,0,26,jan,164,4,96,3,1,1,1
6,92,retired,married,unknown,775,0,0,22,oct,313,3,2613,0,2,1,10
7,90,retired,divorced,secondary,1,0,0,13,feb,152,3,2613,0,2,1,2
8,90,retired,divorced,primary,712,0,0,3,mar,557,1,2613,0,2,1,3
9,89,retired,married,tertiary,553,0,0,19,aug,2027,5,2613,0,2,0,8
10,89,retired,married,primary,0,0,0,27,sep,157,5,2613,0,2,0,9
11,89,retired,divorced,primary,1323,0,0,29,dec,207,4,189,1,3,0,12
12,88,retired,married,secondary,433,0,0,15,sep,161,1,274,1,0,0,9
13,88,retired,married,primary,648,0,0,3,sep,318,1,2613,0,2,0,9
14,87,retired,married,secondary,433,0,0,15,dec,150,1,2613,0,2,0,12
15,87,retired,married,primary,230,0,0,30,oct,144,1,2613,0,2,1,10
16,87,retired,married,primary,2190,0,0,12,jan,512,2,2613,0,2,1,1
17,87,retired,divorced,primary,6746,0,0,21,oct,749,1,2613,0,2,1,10
18,86,retired,single,secondary,614,0,0,9,dec,595,1,2613,0,2,1,12
19,86,retired,married,secondary,1503,0,0,18,mar,165,3,101,1,3,0,3
20,86,retired,married,primary,5236,0,0,1,apr,558,2,2613,0,2,1,4
21,86,retired,married,primary,1817,0,0,16,mar,272,3,2613,0,2,0,3
22,86,retired,married,primary,1255,0,0,14,jul,247,1,180,3,1,1,7
23,86,retired,married,primary,1255,0,0,14,oct,192,2,92,4,1,0,10
24,86,retired,married,primary,0,0,0,15,apr,141,12,2613,0,2,0,4
25,86,retired,divorced,unknown,157,0,0,7,sep,147,1,2613,0,2,0,9
26,86,retired,divorced,primary,0,0,0,26,aug,189,1,2613,0,2,1,8
27,85,retired,married,unknown,1934,0,0,12,jan,140,1,2613,0,2,0,1
28,85,retired,married,primary,98,0,0,30,apr,416,1,2613,0,2,1,4
