,age,job,marital,education,default,balance,housing,loan,day,month,duration,campaign,pdays,previous,poutcome,subscription,subscription_binary,month_num
0,58,management,married,tertiary,no,2143,yes,no,5,may,4.35,1,-1,0,unknown,no,0,5
1,44,technician,single,secondary,no,29,yes,no,5,may,2.52,1,-1,0,unknown,no,0,5
2,33,entrepreneur,married,secondary,no,2,yes,yes,5,may,1.27,1,-1,0,unknown,no,0,5
3,35,management,married,tertiary,no,231,yes,no,5,may,2.32,1,-1,0,unknown,no,0,5
4,28,management,single,tertiary,no,447,yes,yes,5,may,3.62,1,-1,0,unknown,no,0,5
5,42,entrepreneur,divorced,tertiary,yes,2,yes,no,5,may,6.33,1,-1,0,unknown,no,0,5
6,58,retired,married,primary,no,121,yes,no,5,may,0.83,1,-1,0,unknown,no,0,5
7,43,technician,single,secondary,no,593,yes,no,5,may,0.92,1,-1,0,unknown,no,0,5
8,41,admin.,divorced,secondary,no,270,yes,no,5,may,3.7,1,-1,0,unknown,no,0,5
9,29,admin.,single,secondary,no,390,yes,no,5,may,2.28,1,-1,0,unknown,no,0,5
10,53,technician,married,secondary,no,6,yes,no,5,may,8.62,1,-1,0,unknown,no,0,5
11,57,services,married,secondary,no,162,yes,no,5,may,2.9,1,-1,0,unknown,no,0,5
12,51,retired,married,primary,no,229,yes,no,5,may,5.88,1,-1,0,unknown,no,0,5
13,57,blue-collar,married,primary,no,52,yes,no,5,may,0.63,1,-1,0,unknown,no,0,5
14,60,retired,married,primary,no,60,yes,no,5,may,3.65,1,-1,0,unknown,no,0,5
15,33,services,married,secondary,no,0,yes,no,5,may,0.9,1,-1,0,unknown,no,0,5
16,28,blue-collar,married,secondary,no,723,yes,yes,5,may,4.37,1,-1,0,unknown,no,0,5
17,56,management,married,tertiary,no,779,yes,no,5,may,2.73,1,-1,0,unknown,no,0,5
18,32,blue-collar,single,primary,no,23,yes,yes,5,may,2.67,1,-1,0,unknown,no,0,5
19,25,services,married,secondary,no,50,yes,no,5,may,5.7,1,-1,0,unknown,no,0,5
20,40,retired,married,primary,no,0,yes,yes,5,may,3.02,1,-1,0,unknown,no,0,5
21,44,admin.,married,secondary,no,-372,yes,no,5,may,2.87,1,-1,0,unknown,no,0,5
22,39,management,single,tertiary,no,255,yes,no,5,may,4.93,1,-1,0,unknown,no,0,5
23,52,entrepreneur,married,secondary,no,113,yes,yes,5,may,2.12,1,-1,0,unknown,no,0,5
24,46,management,single,secondary,no,-246,yes,no,5,may,4.25,2,-1,0,unknown,no,0,5
25,36,technician,single,secondary,no,265,yes,yes,5,may,5.8,1,-1,0,unknown,no,0,5
26,57,technician,married,secondary,no,839,no,yes,5,may,3.75,1,-1,0,unknown,no,0,5
27,49,management,married,tertiary,no,378,yes,no,5,may,3.83,1,-1,0,unknown,no,0,5
28,60,admin.,married,secondary,no,39,yes,yes,5,may,3.47,1,-1,0,unknown,no,0,5
29,59,blue-collar,married,secondary,no,0,yes,no,5,may,3.77,1,-1,0,unknown,no,0,5
30,57,technician,divorced,secondary,no,63,yes,no,5,may,4.03,1,-1,0,unknown,no,0,5
31,25,blue-collar,married,secondary,no,-7,yes,no,5,may,6.08,1,-1,0,unknown,no,0,5
32,53,technician,married,secondary,no,-3,no,no,5,may,27.77,1,-1,0,unknown,no,0,5
33,36,admin.,divorced,secondary,no,506,yes,no,5,may,9.62,1,-1,0,unknown,no,0,5
34,37,admin.,single,secondary,no,0,yes,no,5,may,2.28,1,-1,0,unknown,no,0,5
35,44,services,divorced,secondary,no,2586,yes,no,5,may,2.67,1,-1,0,unknown,no,0,5
36,50,management,married,secondary,no,49,yes,no,5,may,3.0,2,-1,0,unknown,no,0,5
37,54,retired,married,secondary,no,529,yes,no,5,may,24.87,1,-1,0,unknown,no,0,5
38,36,admin.,single,primary,no,-171,yes,no,5,may,4.03,1,-1,0,unknown,no,0,5
39,58,self-employed,married,tertiary,no,-364,yes,no,5,may,5.92,1,-1,0,unknown,no,0,5
40,44,technician,married,secondary,no,0,yes,no,5,may,3.75,2,-1,0,unknown,no,0,5
41,55,technician,divorced,secondary,no,0,no,no,5,may,2.67,1,-1,0,unknown,no,0,5
42,29,management,single,tertiary,no,0,yes,no,5,may,6.05,1,-1,0,unknown,no,0,5
43,54,blue-collar,married,secondary,no,1291,yes,no,5,may,4.43,1,-1,0,unknown,no,0,5
44,48,management,divorced,tertiary,no,-244,yes,no,5,may,4.22,1,-1,0,unknown,no,0,5
45,32,management,married,tertiary,no,0,yes,no,5,may,2.98,1,-1,0,unknown,no,0,5
46,42,admin.,single,secondary,no,-76,yes,no,5,may,13.12,1,-1,0,unknown,no,0,5
47,24,technician,single,secondary,no,-103,yes,yes,5,may,2.42,1,-1,0,unknown,no,0,5
48,38,entrepreneur,single,tertiary,no,243,no,yes,5,may,2.9,1,-1,0,unknown,no,0,5
49,38,management,single,tertiary,no,424,yes,no,5,may,1.73,1,-1,0,unknown,no,0,5
50,46,services,married,primary,no,179,yes,no,5,may,29.63,1,-1,0,unknown,no,0,5
51,32,admin.,married,tertiary,no,0,yes,no,5,may,2.3,1,-1,0,unknown,no,0,5
52,53,technician,divorced,secondary,no,989,yes,no,5,may,13.53,1,-1,0,unknown,no,0,5
53,57,blue-collar,married,primary,no,249,yes,no,5,may,2.73,1,-1,0,unknown,no,0,5
54,33,services,married,secondary,no,790,yes,no,5,may,6.52,1,-1,0,unknown,no,0,5
55,51,management,married,tertiary,no,6530,yes,no,5,may,1.52,1,-1,0,unknown,no,0,5
56,60,retired,married,tertiary,no,100,no,no,5,may,8.8,1,-1,0,unknown,no,0,5
57,59,management,divorced,tertiary,no,59,yes,no,5,may,4.55,1,-1,0,unknown,no,0,5
58,55,technician,married,secondary,no,1205,yes,no,5,may,2.63,2,-1,0,unknown,no,0,5
59,57,blue-collar,married,secondary,no,5935,yes,yes,5,may,4.3,1,-1,0,unknown,no,0,5
60,31,services,married,secondary,no,25,yes,yes,5,may,2.87,1,-1,0,unknown,no,0,5
61,54,management,married,secondary,no,282,yes,yes,5,may,2.57,1,-1,0,unknown,no,0,5
62,55,blue-collar,married,primary,no,23,yes,no,5,may,4.85,1,-1,0,unknown,no,0,5
63,43,technician,married,secondary,no,1937,yes,no,5,may,3.02,1,-1,0,unknown,no,0,5
64,53,technician,married,secondary,no,384,yes,no,5,may,2.93,1,-1,0,unknown,no,0,5
65,44,blue-collar,married,secondary,no,582,no,yes,5,may,3.52,1,-1,0,unknown,no,0,5
66,55,services,divorced,secondary,no,91,no,no,5,may,5.82,1,-1,0,unknown,no,0,5
67,49,services,divorced,secondary,no,0,yes,yes,5,may,4.53,1,-1,0,unknown,no,0,5
68,55,services,divorced,secondary,yes,1,yes,no,5,may,3.47,1,-1,0,unknown,no,0,5
69,45,admin.,single,secondary,no,206,yes,no,5,may,3.22,1,-1,0,unknown,no,0,5
70,47,services,divorced,secondary,no,164,no,no,5,may,3.53,1,-1,0,unknown,no,0,5
71,42,technician,single,secondary,no,690,yes,no,5,may,0.33,1,-1,0,unknown,no,0,5
72,59,admin.,married,secondary,no,2343,yes,no,5,may,17.37,1,-1,0,unknown,yes,1,5
73,46,self-employed,married,tertiary,no,137,yes,yes,5,may,4.1,1,-1,0,unknown,no,0,5
74,51,blue-collar,married,primary,no,173,yes,no,5,may,8.82,2,-1,0,unknown,no,0,5
75,56,admin.,married,secondary,no,45,no,no,5,may,24.45,1,-1,0,unknown,yes,1,5
76,41,technician,married,secondary,no,1270,yes,no,5,may,23.15,1,-1,0,unknown,yes,1,5
77,46,management,divorced,secondary,no,16,yes,yes,5,may,3.13,2,-1,0,unknown,no,0,5
78,57,retired,married,secondary,no,486,yes,no,5,may,3.0,2,-1,0,unknown,no,0,5
79,42,management,single,secondary,no,50,no,no,5,may,0.8,1,-1,0,unknown,no,0,5
80,30,technician,married,secondary,no,152,yes,yes,5,may,3.55,2,-1,0,unknown,no,0,5
81,60,admin.,married,secondary,no,290,yes,no,5,may,9.72,1,-1,0,unknown,no,0,5
82,57,entrepreneur,divorced,secondary,no,-37,no,no,5,may,2.88,1,-1,0,unknown,no,0,5
83,36,management,married,tertiary,no,101,yes,yes,5,may,7.1,1,-1,0,unknown,no,0,5
84,55,blue-collar,married,secondary,no,383,no,no,5,may,4.78,1,-1,0,unknown,no,0,5
85,60,retired,married,tertiary,no,81,yes,no,5,may,1.68,1,-1,0,unknown,no,0,5
86,39,technician,married,secondary,no,0,yes,no,5,may,3.38,1,-1,0,unknown,no,0,5
87,46,management,married,tertiary,no,229,yes,no,5,may,3.28,1,-1,0,unknown,no,0,5
88,44,blue-collar,married,secondary,no,-674,yes,no,5,may,4.28,1,-1,0,unknown,no,0,5
89,53,blue-collar,married,primary,no,90,no,no,5,may,2.07,1,-1,0,unknown,no,0,5
90,52,blue-collar,married,primary,no,128,yes,no,5,may,3.82,1,-1,0,unknown,no,0,5
91,59,blue-collar,married,primary,no,179,yes,no,5,may,0.92,3,-1,0,unknown,no,0,5
92,27,technician,single,tertiary,no,0,yes,no,5,may,6.67,1,-1,0,unknown,no,0,5
93,44,blue-collar,married,secondary,no,54,yes,no,5,may,3.28,1,-1,0,unknown,no,0,5
94,47,technician,married,tertiary,no,151,yes,no,5,may,3.17,1,-1,0,unknown,no,0,5
95,34,admin.,married,secondary,no,61,no,yes,5,may,0.35,1,-1,0,unknown,no,0,5
96,59,retired,single,secondary,no,30,yes,no,5,may,8.57,1,-1,0,unknown,no,0,5
97,45,management,married,tertiary,no,523,yes,no,5,may,14.15,2,-1,0,unknown,no,0,5
98,29,services,divorced,secondary,no,31,yes,no,5,may,3.23,1,-1,0,unknown,no,0,5
99,46,technician,divorced,secondary,no,79,no,no,5,may,2.4,1,-1,0,unknown,no,0,5
100,56,self-employed,married,primary,no,-34,yes,yes,5,may,3.53,2,-1,0,unknown,no,0,5
101,36,blue-collar,married,primary,no,448,yes,no,5,may,4.77,1,-1,0,unknown,no,0,5
102,59,retired,divorced,primary,no,81,yes,no,5,may,1.78,1,-1,0,unknown,no,0,5
103,44,blue-collar,married,secondary,no,144,yes,no,5,may,4.12,2,-1,0,unknown,no,0,5
104,41,admin.,married,secondary,no,351,yes,no,5,may,8.63,1,-1,0,unknown,no,0,5
105,33,management,single,tertiary,no,-67,yes,no,5,may,6.07,1,-1,0,unknown,no,0,5
106,59,management,divorced,tertiary,no,262,no,no,5,may,2.97,1,-1,0,unknown,no,0,5
107,57,technician,married,primary,no,0,no,no,5,may,1.63,1,-1,0,unknown,no,0,5
108,51,blue-collar,married,secondary,no,26,yes,no,5,may,1.32,1,-1,0,unknown,no,0,5
109,43,services,married,secondary,no,41,yes,yes,5,may,2.12,2,-1,0,unknown,no,0,5
110,52,technician,married,tertiary,no,7,no,yes,5,may,2.92,1,-1,0,unknown,no,0,5
111,33,technician,single,secondary,no,105,yes,no,5,may,4.37,2,-1,0,unknown,no,0,5
112,29,admin.,single,secondary,no,818,yes,yes,5,may,1.02,1,-1,0,unknown,no,0,5
113,34,services,married,secondary,no,-16,yes,yes,5,may,1.3,1,-1,0,unknown,no,0,5
114,31,blue-collar,married,secondary,no,0,yes,no,5,may,2.38,1,-1,0,unknown,no,0,5
115,55,services,married,secondary,no,2476,yes,no,5,may,9.65,1,-1,0,unknown,yes,1,5
116,32,admin.,single,secondary,no,217,yes,no,5,may,5.75,1,-1,0,unknown,no,0,5
117,38,technician,single,secondary,no,1685,yes,no,5,may,3.08,1,-1,0,unknown,no,0,5
118,55,admin.,single,secondary,no,802,yes,yes,5,may,1.67,2,-1,0,unknown,no,0,5
119,28,unemployed,single,tertiary,no,0,yes,no,5,may,2.08,2,-1,0,unknown,no,0,5
120,23,blue-collar,married,secondary,no,94,yes,no,5,may,3.22,1,-1,0,unknown,no,0,5
121,32,technician,single,secondary,no,0,yes,no,5,may,2.27,1,-1,0,unknown,no,0,5
122,32,blue-collar,married,secondary,no,517,yes,no,5,may,8.8,1,-1,0,unknown,no,0,5
123,46,blue-collar,married,secondary,no,265,yes,no,5,may,9.02,1,-1,0,unknown,no,0,5
124,53,housemaid,divorced,primary,no,947,yes,no,5,may,2.72,1,-1,0,unknown,no,0,5
125,34,self-employed,single,secondary,no,3,yes,no,5,may,5.02,1,-1,0,unknown,no,0,5
126,57,unemployed,married,tertiary,no,42,no,no,5,may,0.77,1,-1,0,unknown,no,0,5
127,37,blue-collar,married,secondary,no,37,yes,no,5,may,3.4,1,-1,0,unknown,no,0,5
128,59,blue-collar,married,secondary,no,57,yes,no,5,may,1.63,1,-1,0,unknown,no,0,5
129,33,services,married,secondary,no,22,yes,no,5,may,1.18,1,-1,0,unknown,no,0,5
130,56,blue-collar,divorced,primary,no,8,yes,no,5,may,2.62,2,-1,0,unknown,no,0,5
131,48,unemployed,married,secondary,no,293,yes,no,5,may,4.05,1,-1,0,unknown,no,0,5
132,43,services,married,primary,no,3,yes,no,5,may,3.1,2,-1,0,unknown,no,0,5
133,54,blue-collar,married,primary,no,348,yes,no,5,may,9.65,2,-1,0,unknown,no,0,5
134,26,student,single,secondary,no,0,yes,no,5,may,10.17,2,-1,0,unknown,no,0,5
135,40,management,married,tertiary,no,-4,yes,no,5,may,33.88,1,-1,0,unknown,no,0,5
136,39,management,married,secondary,no,18,yes,no,5,may,1.42,1,-1,0,unknown,no,0,5
137,50,technician,married,primary,no,139,no,no,5,may,1.9,2,-1,0,unknown,no,0,5
138,41,services,married,secondary,no,0,yes,no,5,may,1.9,2,-1,0,unknown,no,0,5
139,60,retired,divorced,secondary,no,216,yes,no,5,may,3.97,1,-1,0,unknown,no,0,5
140,52,blue-collar,married,secondary,no,782,yes,no,5,may,1.55,3,-1,0,unknown,no,0,5
141,48,blue-collar,married,secondary,no,904,yes,no,5,may,2.13,2,-1,0,unknown,no,0,5
142,39,technician,single,tertiary,no,47,yes,no,5,may,3.02,1,-1,0,unknown,no,0,5
143,47,services,single,secondary,no,176,yes,no,5,may,5.05,2,-1,0,unknown,no,0,5
144,40,blue-collar,married,secondary,no,1225,yes,no,5,may,9.3,5,-1,0,unknown,no,0,5
145,45,technician,married,secondary,no,86,yes,no,5,may,4.5,1,-1,0,unknown,no,0,5
146,26,admin.,single,secondary,no,82,yes,no,5,may,3.8,1,-1,0,unknown,no,0,5
147,52,management,married,tertiary,no,271,yes,no,5,may,1.65,1,-1,0,unknown,no,0,5
148,54,technician,married,secondary,no,1378,yes,no,5,may,4.0,1,-1,0,unknown,no,0,5
149,54,admin.,married,tertiary,no,184,no,no,5,may,11.22,2,-1,0,unknown,yes,1,5
150,50,blue-collar,married,primary,no,0,no,no,5,may,3.88,3,-1,0,unknown,no,0,5
151,35,blue-collar,married,secondary,no,0,yes,no,5,may,17.6,1,-1,0,unknown,no,0,5
152,44,services,married,secondary,no,1357,yes,yes,5,may,4.17,1,-1,0,unknown,no,0,5
153,35,retired,single,primary,no,434,no,no,5,may,2.3,1,-1,0,unknown,no,0,5
154,60,admin.,divorced,secondary,no,92,yes,no,5,may,2.17,1,-1,0,unknown,no,0,5
155,53,admin.,divorced,secondary,no,1151,yes,no,5,may,6.87,1,-1,0,unknown,no,0,5
156,48,unemployed,married,secondary,no,41,yes,no,5,may,2.98,2,-1,0,unknown,no,0,5
157,34,technician,married,secondary,no,51,yes,no,5,may,0.32,2,-1,0,unknown,no,0,5
158,54,services,married,secondary,no,214,yes,no,5,may,7.63,2,-1,0,unknown,no,0,5
159,51,management,married,secondary,no,1161,yes,no,5,may,11.95,1,-1,0,unknown,no,0,5
160,31,services,married,tertiary,no,37,yes,no,5,may,5.22,1,-1,0,unknown,no,0,5
161,35,technician,divorced,secondary,no,787,yes,no,5,may,11.38,2,-1,0,unknown,no,0,5
162,35,services,married,secondary,no,59,yes,no,5,may,17.95,1,-1,0,unknown,no,0,5
163,38,technician,married,secondary,no,253,yes,no,5,may,6.93,1,-1,0,unknown,no,0,5
164,36,admin.,married,tertiary,no,211,yes,no,5,may,2.43,2,-1,0,unknown,no,0,5
165,58,retired,married,primary,no,235,yes,no,5,may,2.78,1,-1,0,unknown,no,0,5
166,54,management,married,secondary,no,4080,no,no,5,may,2.33,1,-1,0,unknown,no,0,5
167,34,blue-collar,single,secondary,no,53,yes,yes,5,may,5.77,1,-1,0,unknown,no,0,5
168,31,management,single,tertiary,no,0,yes,no,5,may,9.37,1,-1,0,unknown,no,0,5
169,51,retired,married,secondary,no,2127,yes,no,5,may,2.87,1,-1,0,unknown,no,0,5
170,33,management,married,tertiary,no,377,yes,no,5,may,3.62,1,-1,0,unknown,no,0,5
171,55,management,married,tertiary,no,73,yes,no,5,may,2.37,2,-1,0,unknown,no,0,5
172,42,admin.,married,secondary,no,445,yes,no,5,may,1.12,1,-1,0,unknown,no,0,5
173,34,blue-collar,married,secondary,no,243,yes,no,5,may,4.85,1,-1,0,unknown,no,0,5
174,33,blue-collar,single,secondary,no,307,yes,no,5,may,5.15,2,-1,0,unknown,no,0,5
175,38,services,married,secondary,no,155,yes,no,5,may,4.13,1,-1,0,unknown,no,0,5
176,50,technician,divorced,tertiary,no,173,no,yes,5,may,1.63,1,-1,0,unknown,no,0,5
177,43,management,married,tertiary,no,400,yes,no,5,may,4.27,1,-1,0,unknown,no,0,5
178,61,blue-collar,divorced,primary,no,1428,yes,no,5,may,1.37,2,-1,0,unknown,no,0,5
179,47,admin.,married,secondary,no,219,yes,no,5,may,9.62,1,-1,0,unknown,no,0,5
180,48,self-employed,married,tertiary,no,7,yes,no,5,may,4.77,1,-1,0,unknown,no,0,5
181,44,blue-collar,married,secondary,no,575,yes,no,5,may,7.95,1,-1,0,unknown,no,0,5
182,35,services,married,secondary,no,0,yes,no,5,may,7.85,1,-1,0,unknown,no,0,5
183,50,services,married,secondary,no,5699,yes,no,5,may,6.35,2,-1,0,unknown,no,0,5
184,41,management,married,tertiary,no,176,yes,yes,5,may,0.7,1,-1,0,unknown,no,0,5
185,41,management,married,tertiary,no,517,yes,no,5,may,4.18,1,-1,0,unknown,no,0,5
186,42,retired,married,secondary,no,56,yes,no,5,may,3.58,1,-1,0,unknown,no,0,5
187,38,blue-collar,married,secondary,no,-390,yes,no,5,may,4.78,1,-1,0,unknown,no,0,5
188,53,retired,married,secondary,no,330,yes,no,5,may,3.6,2,-1,0,unknown,no,0,5
189,59,housemaid,divorced,primary,no,195,no,no,5,may,6.1,2,-1,0,unknown,no,0,5
190,36,services,married,secondary,no,301,yes,no,5,may,3.5,1,-1,0,unknown,no,0,5
191,54,blue-collar,married,primary,no,-41,yes,no,5,may,4.8,1,-1,0,unknown,no,0,5
192,40,technician,married,tertiary,no,483,yes,no,5,may,2.8,1,-1,0,unknown,no,0,5
193,46,housemaid,married,primary,no,965,no,no,5,may,2.95,1,-1,0,unknown,no,0,5
194,39,management,married,tertiary,no,378,yes,yes,5,may,2.12,2,-1,0,unknown,no,0,5
195,40,unemployed,married,secondary,no,219,yes,no,5,may,5.95,1,-1,0,unknown,no,0,5
196,28,blue-collar,married,primary,no,324,yes,no,5,may,2.92,1,-1,0,unknown,no,0,5
197,35,entrepreneur,divorced,secondary,no,-69,yes,no,5,may,5.0,1,-1,0,unknown,no,0,5
198,55,retired,married,secondary,no,0,no,yes,5,may,2.27,1,-1,0,unknown,no,0,5
199,48,blue-collar,married,primary,no,278,yes,no,5,may,2.08,2,-1,0,unknown,no,0,5
200,33,management,single,tertiary,no,34,yes,no,5,may,0.45,1,-1,0,unknown,no,0,5
201,53,services,divorced,secondary,no,1467,yes,no,5,may,2.07,1,-1,0,unknown,no,0,5
202,47,blue-collar,married,primary,no,-12,yes,no,5,may,0.3,1,-1,0,unknown,no,0,5
203,31,services,married,secondary,no,388,yes,no,5,may,12.17,2,-1,0,unknown,no,0,5
204,57,entrepreneur,married,secondary,no,294,yes,no,5,may,12.43,2,-1,0,unknown,no,0,5
205,55,blue-collar,married,primary,no,627,yes,no,5,may,4.12,1,-1,0,unknown,no,0,5
206,45,blue-collar,married,primary,no,25,yes,no,5,may,0.67,1,-1,0,unknown,no,0,5
207,53,admin.,divorced,secondary,no,315,yes,no,5,may,3.02,2,-1,0,unknown,no,0,5
208,37,blue-collar,married,primary,no,0,yes,no,5,may,1.32,1,-1,0,unknown,no,0,5
209,44,admin.,divorced,secondary,no,66,yes,no,5,may,3.43,1,-1,0,unknown,no,0,5
210,49,blue-collar,divorced,primary,no,-9,yes,yes,5,may,6.48,1,-1,0,unknown,no,0,5
211,46,technician,married,secondary,no,349,yes,yes,5,may,2.12,1,-1,0,unknown,no,0,5
212,38,admin.,married,secondary,no,0,no,no,5,may,2.52,1,-1,0,unknown,no,0,5
