,age,job,marital,education,balance,housing,loan,day,month,duration,campaign,pdays,previous,poutcome,subscription,month_num
0,95,retired,married,secondary,0,0,0,1,oct,215,1,-1,0,2,0,10
1,95,retired,divorced,primary,2282,0,0,21,apr,207,17,-1,0,2,1,4
2,94,retired,divorced,secondary,1234,0,0,3,mar,212,1,-1,0,2,0,3
6,92,retired,married,unknown,775,0,0,22,oct,313,3,-1,0,2,1,10
7,90,retired,divorced,secondary,1,0,0,13,feb,152,3,-1,0,2,1,2
8,90,retired,divorced,primary,712,0,0,3,mar,557,1,-1,0,2,1,3
9,89,retired,married,tertiary,553,0,0,19,aug,2027,5,-1,0,2,0,8
10,89,retired,married,primary,0,0,0,27,sep,157,5,-1,0,2,0,9
13,88,retired,married,primary,648,0,0,3,sep,318,1,-1,0,2,0,9
14,87,retired,married,secondary,433,0,0,15,dec,150,1,-1,0,2,0,12
15,87,retired,married,primary,230,0,0,30,oct,144,1,-1,0,2,1,10
16,87,retired,married,primary,2190,0,0,12,jan,512,2,-1,0,2,1,1
17,87,retired,divorced,primary,6746,0,0,21,oct,749,1,-1,0,2,1,10
18,86,retired,single,secondary,614,0,0,9,dec,595,1,-1,0,2,1,12
20,86,retired,married,primary,5236,0,0,1,apr,558,2,-1,0,2,1,4
21,86,retired,married,primary,1817,0,0,16,mar,272,3,-1,0,2,0,3
24,86,retired,married,primary,0,0,0,15,apr,141,12,-1,0,2,0,4
25,86,retired,divorced,unknown,157,0,0,7,sep,147,1,-1,0,2,0,9
26,86,retired,divorced,primary,0,0,0,26,aug,189,1,-1,0,2,1,8
27,85,retired,married,unknown,1934,0,0,12,jan,140,1,-1,0,2,0,1
28,85,retired,married,primary,98,0,0,30,apr,416,1,-1,0,2,1,4
29,85,retired,married,primary,1255,0,0,15,jan,233,3,-1,0,2,1,1
30,85,retired,married,primary,12114,0,0,12,feb,165,2,-1,0,2,1,2
31,85,retired,divorced,primary,7613,0,0,18,feb,355,3,-1,0,2,1,2
35,84,retired,married,primary,1791,0,0,30,oct,62,3,-1,0,2,0,10
36,84,retired,married,primary,1702,0,0,26,aug,185,1,-1,0,2,0,8
37,84,retired,divorced,primary,639,0,0,18,may,353,3,-1,0,2,1,5
40,84,entrepreneur,married,secondary,0,0,0,30,sep,992,2,-1,0,2,1,9
41,83,retired,single,primary,3349,0,0,12,feb,89,1,-1,0,2,0,2
42,83,retired,single,primary,1965,0,0,13,oct,1003,3,-1,0,2,1,10
43,83,retired,married,unknown,4216,0,0,12,oct,92,1,-1,0,2,0,10
44,83,retired,married,tertiary,6236,0,0,2,feb,283,2,-1,0,2,0,2
48,83,retired,married,tertiary,4761,0,0,8,mar,659,1,-1,0,2,1,3
50,83,retired,married,secondary,0,0,0,18,mar,140,10,-1,0,2,0,3
53,83,retired,married,primary,425,0,0,2,feb,912,1,-1,0,2,0,2
54,83,retired,divorced,primary,46,0,0,25,mar,115,1,-1,0,2,1,3
55,83,retired,divorced,primary,4565,0,0,13,sep,175,2,-1,0,2,0,9
56,83,retired,divorced,primary,2619,0,0,16,oct,181,2,-1,0,2,0,10
57,83,retired,divorced,primary,20,0,0,27,nov,65,3,-1,0,2,0,11
58,83,retired,divorced,primary,1097,0,0,5,mar,181,1,-1,0,2,1,3
60,83,retired,divorced,primary,0,0,0,3,sep,225,1,-1,0,2,0,9
62,83,housemaid,divorced,primary,5944,0,0,30,jul,200,3,-1,0,2,0,7
63,82,unknown,divorced,unknown,0,0,0,9,sep,277,5,-1,0,2,0,9
64,82,retired,married,unknown,211,0,0,22,apr,195,3,-1,0,2,0,4
65,82,retired,married,tertiary,278,0,0,16,feb,223,7,-1,0,2,0,2
66,82,retired,married,secondary,276,0,0,17,aug,199,1,-1,0,2,1,8
67,82,retired,married,secondary,121,0,0,19,feb,330,1,-1,0,2,1,2
68,82,retired,married,secondary,0,0,0,12,aug,150,2,-1,0,2,0,8
69,82,retired,married,primary,8603,0,0,7,jul,429,1,-1,0,2,1,7
72,82,retired,married,primary,103,0,0,1,sep,368,1,-1,0,2,0,9
73,82,retired,divorced,tertiary,0,0,0,12,nov,226,1,-1,0,2,1,11
75,82,retired,divorced,primary,1419,0,0,26,mar,139,1,-1,0,2,0,3
78,82,housemaid,married,primary,2140,0,0,14,apr,118,6,-1,0,2,0,4
81,82,housemaid,divorced,primary,1381,0,0,27,oct,156,1,-1,0,2,0,10
82,81,retired,married,secondary,93,0,0,7,dec,164,1,-1,0,2,0,12
83,81,retired,married,secondary,1,0,0,19,aug,65,5,-1,0,2,0,8
85,81,retired,married,primary,243,0,0,27,oct,131,1,-1,0,2,1,10
87,81,retired,married,primary,122,0,0,23,apr,201,1,-1,0,2,0,4
88,81,retired,married,primary,1154,0,0,17,sep,231,1,-1,0,2,1,9
89,81,retired,married,primary,0,0,0,11,aug,198,1,-1,0,2,0,8
90,81,retired,divorced,unknown,9224,0,0,9,nov,235,2,-1,0,2,0,11
91,81,retired,divorced,unknown,0,0,0,16,oct,128,1,-1,0,2,0,10
92,81,retired,divorced,tertiary,0,0,0,14,jan,357,1,-1,0,2,0,1
93,81,retired,divorced,secondary,452,0,0,16,dec,443,1,-1,0,2,1,12
95,81,retired,divorced,primary,519,0,0,9,sep,488,1,-1,0,2,0,9
96,81,retired,divorced,primary,4321,0,0,11,aug,163,3,-1,0,2,0,8
97,81,retired,divorced,primary,0,0,0,15,oct,172,1,-1,0,2,0,10
98,81,management,married,tertiary,0,0,0,7,jul,170,1,-1,0,2,0,7
99,80,retired,married,unknown,355,0,0,10,aug,156,1,-1,0,2,0,8
100,80,retired,married,tertiary,3669,0,0,30,jun,166,1,-1,0,2,0,6
101,80,retired,married,secondary,87,0,0,27,oct,219,2,-1,0,2,0,10
106,80,retired,married,secondary,462,0,0,7,dec,127,2,-1,0,2,0,12
109,80,retired,married,secondary,2,0,0,15,oct,442,1,-1,0,2,0,10
110,80,retired,married,secondary,173,0,0,2,aug,87,3,-1,0,2,0,8
111,80,retired,married,secondary,1610,0,0,12,aug,71,1,-1,0,2,0,8
