,age,job,marital,education,balance,housing,loan,day,month,duration,campaign,pdays,previous,poutcome,subscription,month_num
3,93,retired,married,unknown,775,0,0,4,aug,476,2,13,9,1,1,8
4,93,retired,married,unknown,775,0,0,22,jul,860,2,177,7,1,1,7
5,92,retired,married,unknown,775,0,0,26,jan,164,4,96,3,1,1,1
11,89,retired,divorced,primary,1323,0,0,29,dec,207,4,189,1,0,0,12
12,88,retired,married,secondary,433,0,0,15,sep,161,1,274,1,0,0,9
19,86,retired,married,secondary,1503,0,0,18,mar,165,3,101,1,0,0,3
22,86,retired,married,primary,1255,0,0,14,jul,247,1,180,3,1,1,7
23,86,retired,married,primary,1255,0,0,14,oct,192,2,92,4,1,0,10
32,84,retired,married,tertiary,4761,0,0,9,sep,1405,1,92,3,0,1,9
33,84,retired,married,secondary,81204,0,0,28,dec,679,1,313,2,0,1,12
34,84,retired,married,secondary,81204,0,0,1,apr,390,1,94,3,1,1,4
38,84,retired,divorced,primary,2619,0,0,8,feb,145,2,115,2,0,0,2
39,84,retired,divorced,primary,1680,0,0,6,sep,113,5,97,3,0,0,9
45,83,retired,married,tertiary,6236,0,0,12,oct,766,1,62,3,0,0,10
46,83,retired,married,tertiary,6236,0,0,11,aug,155,1,190,2,0,0,8
47,83,retired,married,tertiary,4761,0,0,9,jun,294,2,93,1,1,0,6
49,83,retired,married,secondary,0,0,0,7,may,201,2,268,2,0,0,5
51,83,retired,married,primary,425,0,0,22,sep,773,1,92,2,1,1,9
52,83,retired,married,primary,425,0,0,22,jun,883,1,140,1,0,1,6
59,83,retired,divorced,primary,0,0,0,31,may,664,1,77,3,1,0,5
61,83,housemaid,married,primary,2140,0,0,6,sep,109,3,276,8,0,0,9
70,82,retired,married,primary,8603,0,0,22,oct,306,3,107,1,1,1,10
71,82,retired,married,primary,243,0,0,26,jul,275,1,180,2,1,1,7
74,82,retired,divorced,primary,928,0,0,23,sep,217,2,188,3,0,0,9
76,82,retired,divorced,primary,0,0,0,15,mar,506,2,195,1,0,1,3
77,82,retired,divorced,primary,0,0,0,6,aug,381,3,295,1,0,0,8
79,82,housemaid,divorced,primary,1381,0,0,28,jul,844,5,181,4,0,1,7
80,82,housemaid,divorced,primary,1381,0,0,28,jan,86,3,93,1,0,0,1
84,81,retired,married,primary,5220,0,0,13,nov,135,1,94,2,0,1,11
86,81,retired,married,primary,243,0,0,27,jan,340,1,92,1,1,1,1
94,81,retired,divorced,primary,949,0,0,27,sep,188,2,280,1,0,1,9
102,80,retired,married,secondary,8304,0,0,9,jun,712,1,64,12,0,1,6
103,80,retired,married,secondary,8304,0,0,8,sep,606,3,91,13,1,1,9
104,80,retired,married,secondary,8304,0,0,6,apr,681,1,118,11,1,0,4
105,80,retired,married,secondary,668,0,0,8,jul,250,1,371,1,1,1,7
107,80,retired,married,secondary,2354,0,0,4,feb,739,1,181,2,0,1,2
108,80,retired,married,secondary,2354,0,0,4,aug,199,2,181,3,1,0,8
112,80,retired,married,primary,997,0,0,29,oct,746,2,86,1,0,1,10
113,80,retired,married,primary,997,0,0,28,jan,151,1,91,3,1,1,1
119,80,retired,married,primary,155,0,0,4,may,209,1,53,3,1,1,5
120,80,retired,married,primary,155,0,0,12,mar,290,1,93,2,1,1,3
122,80,retired,married,primary,1468,0,0,13,jul,256,2,181,3,1,0,7
126,80,retired,divorced,primary,235,0,0,31,mar,577,1,223,3,0,1,3
128,80,housemaid,married,secondary,499,0,0,13,apr,224,2,393,4,0,0,4
129,80,housemaid,married,primary,0,0,0,23,feb,639,1,189,1,0,1,2
131,79,retired,married,secondary,909,0,0,25,sep,114,1,95,1,0,0,9
133,79,retired,married,secondary,8304,0,0,9,dec,456,2,275,9,1,1,12
134,79,retired,married,secondary,723,0,0,9,sep,276,1,79,3,0,1,9
140,79,retired,married,primary,8556,0,0,18,jan,326,2,272,2,1,1,1
143,79,retired,married,primary,3025,0,0,11,mar,184,1,90,6,1,0,3
144,79,retired,married,primary,3025,0,0,11,dec,166,3,126,3,0,1,12
146,79,retired,divorced,unknown,2628,0,0,8,jul,220,7,450,2,0,0,7
147,79,retired,divorced,secondary,631,0,0,9,aug,440,5,182,3,0,0,8
148,79,retired,divorced,secondary,631,0,0,8,feb,105,2,181,1,0,0,2
150,79,retired,divorced,primary,336,0,0,6,oct,386,1,184,1,0,0,10
151,79,retired,divorced,primary,2787,0,0,13,jul,617,1,377,1,1,1,7
152,79,retired,divorced,primary,20,0,0,29,apr,165,2,182,1,0,0,4
156,78,retired,married,unknown,4807,0,0,3,feb,892,2,104,4,1,1,2
158,78,retired,married,unknown,38,0,0,4,aug,156,1,1,3,0,0,8
165,78,retired,married,primary,680,0,0,24,may,838,1,89,9,0,0,5
170,78,retired,married,primary,14204,0,0,26,oct,150,1,183,1,0,0,10
175,78,retired,divorced,secondary,3417,0,0,12,may,309,1,181,1,1,1,5
177,78,retired,divorced,primary,55,0,0,5,nov,143,3,90,1,0,0,11
183,78,management,married,unknown,1780,1,0,25,oct,211,2,185,7,1,1,10
185,77,unknown,married,unknown,397,0,0,8,nov,207,1,185,3,1,0,11
188,77,retired,married,unknown,992,0,0,27,apr,147,2,182,2,0,0,4
191,77,retired,married,tertiary,7802,0,0,4,may,421,1,92,2,1,1,5
198,77,retired,married,tertiary,0,0,0,16,oct,847,1,60,1,1,1,10
200,77,retired,married,secondary,820,0,0,21,oct,330,2,181,4,1,1,10
202,77,retired,married,secondary,638,0,0,11,feb,288,1,188,1,1,1,2
204,77,retired,married,secondary,4112,0,0,29,jul,426,1,184,3,1,1,7
205,77,retired,married,secondary,4112,0,0,26,jan,1616,1,95,2,1,1,1
209,77,retired,married,primary,680,0,0,27,nov,341,4,94,3,0,0,11
211,77,retired,married,primary,680,0,0,24,feb,513,2,89,7,0,0,2
212,77,retired,married,primary,3324,0,0,13,may,289,1,91,5,1,1,5
213,77,retired,married,primary,29340,0,0,15,mar,257,1,91,2,0,1,3
214,77,retired,married,primary,2590,0,0,15,feb,112,5,94,15,1,0,2
215,77,retired,married,primary,2590,0,0,13,nov,212,3,277,12,0,1,11
216,77,retired,married,primary,2590,0,0,12,aug,345,1,178,20,0,1,8
217,77,retired,married,primary,2223,0,0,10,aug,365,2,187,1,1,0,8
218,77,retired,married,primary,1492,0,0,1,sep,663,1,208,2,0,0,9
225,77,retired,divorced,primary,2693,0,0,25,oct,83,2,94,12,0,0,10
226,77,management,married,unknown,1780,1,0,23,oct,221,2,183,3,1,1,10
227,77,management,married,unknown,1780,1,0,23,apr,361,2,182,5,1,1,4
229,76,self-employed,married,unknown,4984,0,0,28,apr,403,1,182,1,1,1,4
230,76,self-employed,married,unknown,4984,0,0,15,jun,126,3,48,2,1,0,6
233,76,retired,married,tertiary,2991,0,0,25,jan,195,1,95,2,1,0,1
234,76,retired,married,tertiary,2991,0,0,22,oct,344,1,183,1,1,1,10
235,76,retired,married,tertiary,0,0,0,4,feb,92,3,169,1,0,0,2
241,76,retired,married,secondary,2302,0,0,5,feb,110,1,87,2,0,0,2
243,76,retired,married,primary,3324,0,0,13,nov,122,1,92,3,1,1,11
